"No.","Time","Source","Destination","Protocol","Length","Info"
"7","0.455258945","Espressi_0d:7e:1d","Broadcast","ARP","90","Gratuitous ARP for 192.168.4.1 (Request)"
"8","0.465467823","Espressi_0d:83:09","Broadcast","ARP","90","Gratuitous ARP for 192.168.4.1 (Request) (duplicate use of 192.168.4.1 detected!)"
"11","1.451110139","Espressi_0d:7e:1c","Espressi_0d:83:09","802.11","56","Disassociate, SN=0, FN=0, Flags=........C"
"13","1.457873073","Espressi_0d:83:08","SitecomE_0b:d4:53","802.11","56","Disassociate, SN=0, FN=0, Flags=........C"
"17","1.460697236","Espressi_0d:7e:1d","Broadcast","802.11","56","Deauthentication, SN=3, FN=0, Flags=........C"
"18","1.461281362","Espressi_0d:83:09","Broadcast","802.11","56","Deauthentication, SN=3, FN=0, Flags=........C"
"61","3.291615262","Espressi_0d:83:08","SitecomE_0b:d4:53","802.11","56","Disassociate, SN=0, FN=0, Flags=........C"
"72","3.339150802","Espressi_0d:7e:1c","Espressi_0d:83:09","802.11","56","Disassociate, SN=0, FN=0, Flags=....R...C"
"85","3.411887744","Espressi_0d:7e:1d","Broadcast","802.11","56","Deauthentication, SN=13, FN=0, Flags=........C"
"87","3.620441530","Espressi_0d:7e:1c","Broadcast","802.11","156","Probe Request, SN=1, FN=0, Flags=........C, SSID=Sitecom0BD453"
"88","3.623825240","SitecomE_0b:d4:53","Espressi_0d:7e:1c","802.11","410","Probe Response, SN=829, FN=0, Flags=........C, BI=1000, SSID=Sitecom0BD453"
"90","3.625406634","Espressi_0d:83:08","Broadcast","802.11","156","Probe Request, SN=1, FN=0, Flags=........C, SSID=Sitecom0BD453"
"91","3.628769054","SitecomE_0b:d4:53","Espressi_0d:7e:1c","802.11","410","Probe Response, SN=830, FN=0, Flags=........C, BI=1000, SSID=Sitecom0BD453"
"104","3.878722683","Espressi_0d:7e:1d","Broadcast","802.11","301","Beacon frame, SN=1, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"105","3.892646534","Espressi_0d:83:09","Broadcast","802.11","301","Beacon frame, SN=1, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"122","4.728569629","Espressi_0d:7e:1c","Broadcast","802.11","143","Probe Request, SN=2, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"123","4.732005857","SitecomE_0b:d4:53","Espressi_0d:7e:1c","802.11","410","Probe Response, SN=835, FN=0, Flags=........C, BI=1000, SSID=Sitecom0BD453"
"129","4.752309267","Espressi_0d:83:08","Broadcast","802.11","143","Probe Request, SN=2, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"130","4.755700076","SitecomE_0b:d4:53","Espressi_0d:83:08","802.11","410","Probe Response, SN=838, FN=0, Flags=........C, BI=1000, SSID=Sitecom0BD453"
"136","4.806498084","Espressi_0d:7e:1d","Broadcast","802.11","301","Beacon frame, SN=9, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"137","4.812869919","Espressi_0d:83:09","Broadcast","802.11","301","Beacon frame, SN=10, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"151","5.492978923","Espressi_0d:7e:1c","Broadcast","802.11","143","Probe Request, SN=3, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"152","5.496410030","SitecomE_0b:d4:53","Espressi_0d:7e:1c","802.11","410","Probe Response, SN=841, FN=0, Flags=........C, BI=1000, SSID=Sitecom0BD453"
"153","5.516175640","Espressi_0d:7e:1d","Broadcast","802.11","301","Beacon frame, SN=16, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"154","5.528770775","Espressi_0d:83:09","Broadcast","802.11","301","Beacon frame, SN=16, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"155","5.535599643","Espressi_0d:83:08","Broadcast","802.11","143","Probe Request, SN=3, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"156","5.539038815","SitecomE_0b:d4:53","Espressi_0d:83:08","802.11","410","Probe Response, SN=844, FN=0, Flags=........C, BI=1000, SSID=Sitecom0BD453"
"162","5.618962520","Espressi_0d:7e:1d","Broadcast","802.11","301","Beacon frame, SN=18, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"163","5.631681497","Espressi_0d:83:09","Broadcast","802.11","301","Beacon frame, SN=18, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"177","6.318788097","Espressi_0d:83:08","Broadcast","802.11","143","Probe Request, SN=4, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"178","6.322197812","SitecomE_0b:d4:53","Espressi_0d:83:08","802.11","410","Probe Response, SN=847, FN=0, Flags=........C, BI=1000, SSID=Sitecom0BD453"
"184","6.335981534","Espressi_0d:7e:1d","Broadcast","802.11","301","Beacon frame, SN=25, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"185","6.351927207","Espressi_0d:83:09","Broadcast","802.11","301","Beacon frame, SN=25, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"235","8.973550411","Espressi_0d:83:08","Broadcast","802.11","143","Probe Request, SN=5, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"236","8.976932670","SitecomE_0b:d4:53","Espressi_0d:83:08","802.11","410","Probe Response, SN=850, FN=0, Flags=........C, BI=1000, SSID=Sitecom0BD453"
"242","8.998696927","Espressi_0d:7e:1d","Broadcast","802.11","301","Beacon frame, SN=50, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"243","9.010979715","Espressi_0d:83:09","Broadcast","802.11","301","Beacon frame, SN=51, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"258","9.738848064","Espressi_0d:83:08","Broadcast","802.11","143","Probe Request, SN=6, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"259","9.742254153","SitecomE_0b:d4:53","Espressi_0d:83:08","802.11","410","Probe Response, SN=853, FN=0, Flags=........C, BI=1000, SSID=Sitecom0BD453"
"265","9.818023198","Espressi_0d:7e:1d","Broadcast","802.11","301","Beacon frame, SN=59, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
